workers,procs,mpitime,seqtime,speedup
2,2,30.780946,56.537696,1.8367757768068596
3,2,34.94688,56.537696,1.6178181285425193
4,2,26.321171,56.537696,2.147993187689104
5,2,46.507557,56.537696,1.2156668646344937
6,2,35.893703,56.537696,1.5751424699758616
7,2,33.428979,56.537696,1.691277977709101
8,2,27.381887,56.537696,2.064784505173073
2,4,31.020517,56.537696,1.822590384293079
3,4,34.945074,56.537696,1.6179017391693031
4,4,27.149397,56.537696,2.0824659936277774
5,4,46.917744,56.537696,1.205038673641256
6,4,35.835567,56.537696,1.5776978218315898
7,4,33.767734,56.537696,1.6743112226600696
8,4,27.490133,56.537696,2.0566541456892913
2,6,30.64951,56.537696,1.8446525246243741
3,6,34.979879,56.537696,1.616291925995513
4,6,26.491543,56.537696,2.1341790472529287
5,6,46.557422,56.537696,1.214364833173108
6,6,35.82404,56.537696,1.5782054731962114
7,6,33.385219,56.537696,1.6934948367419724
8,6,27.418396,56.537696,2.062035138744075
